#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
LF3      1.583143  -.75842E-01   .13984E-01  .000013   .000033   .400
LF4      1.579448  -.76222E-01   .14328E-01  .000013   .000034   .400
LF5      1.582460  -.77951E-01   .15525E-01  .000015   .000038   .400
LF6      1.568270  -.72623E-01   .12614E-01  .000012   .000032   .400
LF7      1.576004  -.75945E-01   .14413E-01  .000013   .000035   .400
LF8      1.565361  -.70773E-01   .11648E-01  .000013   .000033   .400
F1       1.627133  -.95708E-01   .25490E-01  .000018   .000045   .455
F2       1.621258  -.93127E-01   .23802E-01  .000019   .000048   .455
F3       1.614114  -.90439E-01   .22200E-01  .000017   .000044   .400
F4       1.617794  -.91970E-01   .23170E-01  .000017   .000043   .455
F5       1.604555  -.86776E-01   .20038E-01  .000017   .000042   .400
F6       1.637644  -.98262E-01   .26916E-01  .000020   .000050   .455
F7       1.626616  -.95968E-01   .26344E-01  .000019   .000048   .455
F8       1.596597  -.83179E-01   .18132E-01  .000016   .000040   .400
F9       1.621616  -.89082E-01   .21281E-01  .000015   .000037   .455
FN11     1.622185  -.93650E-01   .28110E-01  .000002   .000005   .400
F13      1.623605  -.94290E-01   .24767E-01  .000018   .000044   .455
F14      1.602525  -.86037E-01   .19636E-01  .000017   .000042   .400
F15      1.606796  -.87531E-01   .20666E-01  .000018   .000045   .400
BASF1    1.627210  -.87845E-01   .20655E-01  .000018   .000046   .400
BASF2    1.665783  -.10118E+00   .28293E-01  .000020   .000050   .455
BASF5    1.604248  -.77809E-01   .14520E-01  .000017   .000042   .400
BASF6    1.668691  -.87179E-01   .17380E-01  .000018   .000044   .455
BASF10   1.651348  -.90791E-01   .21123E-01  .000021   .000052   .455
BASF12   1.671202  -.93424E-01   .22145E-01  .000018   .000044   .455
BASF13   1.698903  -.98820E-01   .24809E-01  .000015   .000037   .455
