#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
800456   1.801265  -.96563E-01   .85848E-02  .000020   .000055   .400
803467   1.804243  -.94682E-01   .69256E-02  .000019   .000051   .400
836302   1.838371  -.15045E+00   .58493E-01  .000006   .000013   .495
865401   1.866546  -.11817E+00   .20693E-01  .000032   .000084   .400
486817   1.486475  -.32940E-01   .17123E-02  .000006   .000016   .400
542734   1.542737  -.40890E-01   .15568E-02  .000008   .000021   .400
#-------------------------------------------------------------------------------------------------------------
#CHANCE GLASS CATALOGUE: QUADRATIC MODEL,VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
510644   1.510273  -.43936E-01  -.32015E-02  .000004   .000006   .645
517642   1.517382  -.44745E-01  -.33088E-02  .000004   .000007   .645
519604   1.519611  -.47567E-01  -.11247E-02  .000006   .000016   .400
524592   1.524639  -.48990E-01  -.65528E-03  .000007   .000019   .400
508612   1.508191  -.46073E-01  -.26634E-02  .000004   .000007   .650
569561   1.569560  -.55983E-01   .99813E-03  .000010   .000026   .400
572577   1.572917  -.54789E-01   .22966E-03  .000008   .000023   .400
564608   1.564511  -.51351E-01  -.13187E-02  .000007   .000019   .400
569631   1.569383  -.50009E-01  -.25630E-02  .000005   .000012   .400
589613   1.589826  -.53297E-01   .17804E-02  .000005   .000013   .400
603606   1.603831  -.55115E-01   .15208E-02  .000007   .000020   .400
607595   1.608030  -.56512E-01  -.62974E-03  .000008   .000023   .400
613586   1.613475  -.57796E-01   .13474E-03  .000010   .000027   .400
620603   1.621154  -.56952E-01   .14330E-02  .000008   .000021   .400
623581   1.623764  -.59348E-01   .88559E-04  .000010   .000029   .400
623569   1.623589  -.60470E-01   .91948E-03  .000013   .000034   .400
639554   1.639373  -.63595E-01   .20936E-02  .000011   .000029   .400
658509   1.659369  -.71244E-01   .62531E-02  .000015   .000039   .400
530512   1.531074  -.57113E-01   .39823E-02  .000009   .000024   .400
606439   1.606604  -.75610E-01   .12976E-01  .000017   .000044   .400
700412   1.701222  -.93147E-01   .17873E-01  .000017   .000045   .400
702410   1.703034  -.93642E-01   .19451E-01  .000022   .000054   .455
614439   1.615006  -.77002E-01   .84091E-02  .000008   .000021   .400
541472   1.541542  -.63043E-01   .75413E-02  .000010   .000027   .400
548456   1.548553  -.65992E-01   .86952E-02  .000011   .000030   .400
567428   1.568268  -.72630E-01   .12722E-01  .000013   .000034   .400
573426   1.574053  -.73792E-01   .13085E-01  .000014   .000036   .400
579411   1.579607  -.77011E-01   .15648E-01  .000018   .000044   .400
581409   1.582463  -.77935E-01   .15039E-01  .000015   .000037   .455
582421   1.583140  -.75857E-01   .13727E-01  .000014   .000036   .400
620364   1.621259  -.93089E-01   .24058E-01  .000018   .000046   .455
626357   1.627129  -.95711E-01   .25452E-01  .000018   .000046   .400
648338   1.649677  -.10444E+00   .31234E-01  .000017   .000041   .455
653335   1.654868  -.10640E+00   .31948E-01  .000020   .000051   .455
699301   1.700596  -.12637E+00   .47508E-01  .000016   .000039   .460
706300   1.707527  -.12781E+00   .50041E-01  .000006   .000017   .400
717295   1.719090  -.13208E+00   .48687E-01  .000021   .000052   .460
728284   1.730064  -.13917E+00   .56675E-01  .000013   .000032   .465
748278   1.750323  -.14588E+00   .57752E-01  .000023   .000055   .460
755276   1.757145  -.14859E+00   .59540E-01  .000021   .000052   .465
785258   1.786872  -.16493E+00   .77158E-01  .000009   .000022   .480
805254   1.807417  -.17150E+00   .75525E-01  .000027   .000066   .455
641601   1.641270  -.59203E-01  -.37770E-02  .000005   .000008   .645
643580   1.643299  -.61319E-01   .34170E-03  .000011   .000029   .400
652585   1.652404  -.61624E-01  -.81363E-03  .000009   .000025   .400
658573   1.691914  -.69840E-01   .36250E-04  .000010   .000028   .400
669574   1.669663  -.64468E-01  -.41076E-03  .000011   .000029   .400
678552   1.678788  -.67822E-01   .12195E-02  .000014   .000037   .400
691547   1.691914  -.69840E-01   .36250E-04  .000012   .000032   .400
691548   1.691911  -.69641E-01   .14692E-02  .000015   .000040   .400
694533   1.694439  -.71727E-01   .28801E-02  .000016   .000042   .400
697562   1.698236  -.68756E-01  -.20282E-02  .000008   .000020   .400
697554   1.697710  -.69639E-01  -.14791E-02  .000008   .000022   .400
713538   1.713958  -.73280E-01  -.34618E-03  .000010   .000026   .400
720504   1.721028  -.78796E-01   .39028E-02  .000014   .000039   .400
734517   1.734527  -.78402E-01   .19647E-02  .000015   .000042   .400
689495   1.690002  -.76692E-01   .53385E-02  .000021   .000053   .400
717480   1.718076  -.82233E-01   .69997E-02  .000020   .000053   .400
717479   1.718078  -.82506E-01   .59943E-02  .000012   .000033   .400
744448   1.745195  -.91366E-01   .10813E-01  .000015   .000041   .400
788474   1.789510  -.91689E-01   .56603E-02  .000018   .000049   .400
850322   1.852142  -.14371E+00   .44056E-01  .000028   .000069   .460
